pos,lemma,synset,sense
f,だぜ,男言葉,
f,ねえ,疑問,
fi,ねえ,男言葉,
fi,ねえし,男言葉,
fi,ねえよ,男言葉,
fda,ね,隣接:確認,
fda,ねえ,隣接:確認,
fda,よね,隣接:確認,
fda,よねえ,隣接:確認,
fda,もんね,隣接:確認,
fda,もんねー,隣接:確認,
fda,もんねえ,隣接:確認,
fi,わ,女言葉,
fta,わ,女言葉,
fda,わ,女言葉,
fru,わ,女言葉,
fv,よ,隣接:了解,
fp,よ,女言葉,
fda,よ,隣接:伝達,
fn,の,女言葉,
fta,の,女言葉,
fda,の,女言葉,
fna,の,女言葉,
fru,の,女言葉,
fa,わよ,女言葉,
fu,わよ,女言葉,
fa,のよ,女言葉,
fu,のよ,女言葉,
fi,のかな,,
fta,のかな,,
fda,のかな,,
fru,のかな,,
fa,ですわ,女言葉,
fu,ですわ,女言葉,
fa,ですの,女言葉,
fu,ですの,女言葉,
fa,ですわよ,女言葉,
fu,ですわよ,女言葉,
fa,ですのよ,女言葉,
fu,ですのよ,女言葉,
vt,ちゃって,,
vtt,てくれた,,
vtt,てくれる,,
nu,ように,,
pa,れている,状態,
fi,はず,,
fta,はず,,
fna,はず,,
fru,はず,,
f,か,隣接;感想,
v,じみた,臭がある,
v,じみている,臭がある,
