pos,lemma,synset,sense
e, ,,
e,　,,
e,　,,
e,！,,
e,、,,
e,．,,
e,。,,
e,?,,
e,？,,
e,「,,
e,」,,
e,『,,
e,』,,
e,・,,
e,…,,
e,―,,
o,くーん,人の呼び方,">年下に>男の子に,遠い場所から"
o,くん,人の呼び方,>年下に>男の子に
o,さーん,人の呼び方,">不特定に,丁寧に"
o,様,人の呼び方,">不特定に,丁重に"
o,さん,人の呼び方,">不特定に,丁寧に"
o,先生,人の呼び方,">不特定に,先生に"
o,だけ,限定,
o,だけ,程度,
o,ちゃーん,人の呼び方,">不特定に,年下に>女の子に"
o,ちゃん,人の呼び方,">不特定に,年下に>女の子に"
o,殿,人の呼び方,
p,か,選択,
p,が,主語,
p,かつ,and,
p,かといって,,
p,から,連用,
o,くらい,程度,
o,くらい,例示,
p,こそ,強意,
p,さえ,類推,
p,さえ,限定,
p,さえ,添加,
p,しか,限定,
p,しつつ,,
p,だけれど,,
p,だって,,
p,だとか,,
p,って,,
p,っぽくて,,
p,で,,
p,であっても,,
p,であれば,,
p,でさえ,,
p,では,,
p,ではある,,
p,でも,類推,
p,でも,例示,
p,と,並立,
p,という,,
p,という,,
p,というのが,,
p,といった,,
p,といっても,,
p,とか,,
p,としか,,
p,として,,
p,としては,,
p,って,,
p,っていうけど,,
p,っていうか,,
p,っていうより,,
p,っていうよりも,,
p,とは,,
p,とはいえ,,
p,とやら,,
p,とやらで,,
p,と言っていいほど,,
p,と呼べるようなものが,,
p,な,,
p,なく,,
p,など,程度,
p,など,軽視,
p,などと,,
p,なら,,
p,なり,選択,
p,なり,例示,
p,なんかには,,
p,に,,
p,において,,
p,にとっての,,
p,には,,
p,にも,,
p,によって,,
p,による,,
p,の,連体,
p,のが,主語,
p,のって,,
p,ので,,
p,のでは,,
p,のと,並立,
p,のに,,
p,のは,主語,
p,のも,添加,
p,のように,,
p,は,主語,
p,ばかり,程度,
p,ばかり,限定,
p,へ,,
p,ほど,程度,
p,ほど,比例,
p,まで,範囲,
p,まで,限定,
p,まで,添加,
p,め,,
p,も,並立,
p,も,添加,
p,も,強意,
p,や,並立,
p,やら,不確定,
p,やら,列挙,
p,より,,
p,よりも,,
p,らしい,,
p,における,,
p,において,,
p,においては,,
p,においても,,
p,にとって,,
p,にとっては,,
p,にとっても,,
p,を,,
p,こと,動名詞,
p,の,動名詞,
p,今や,,
