synset1,link,synset2
プードル,isa,犬
犬,isa,動物
spy,in,spy
undercover_agent,in,spy
廻者,in,spy
間諜,in,spy
工作員,in,spy
犬,in,spy
間者,in,spy
探,in,spy
諜報員,in,spy
諜者,in,spy
密偵,in,spy
スパイ,in,spy
秘密捜査員,in,spy
いぬ,in,spy
まわし者,in,spy
隠密,in,spy
探り,in,spy
廻し者,in,spy
回し者,in,spy
回者,in,spy
canis_familiaris,in,canis_familiaris
domestic_dog,in,canis_familiaris
dog,in,canis_familiaris
飼い犬,in,canis_familiaris
ドッグ,in,canis_familiaris
犬,in,canis_familiaris
飼犬,in,canis_familiaris
洋犬,in,canis_familiaris
イヌ,in,canis_familiaris
